open_time,open,high,low,close,volume
1.64434E+12,43429.32,43685.2,42666,42998.65,9095.17318
1.64435E+12,43000.53,44393.36,42938.36,44042.99,8075.93351
1.64436E+12,44043,44341.88,43117.92,43343.28,6322.35073
1.64438E+12,43343.28,43918.52,43125,43807.75,4631.70351
1.64439E+12,43807.75,43939,43181.91,43715.45,5258.09575
1.64441E+12,43715.46,44471.4,43617.61,43867.63,7811.59416
1.64442E+12,43867.63,44700,43579.66,44463.43,6189.45543
1.64444E+12,44466.23,44799,44189,44372.72,4214.96771
1.64445E+12,44372.71,44400,43542.14,43775.42,5357.42965
1.64447E+12,43775.42,44131.6,43575.22,44092.42,3346.73043
1.64448E+12,44092.43,45177.96,44055.86,44834.09,7254.84317
1.64449E+12,44834.09,45669.71,43174.01,44947.1,24969.59606
1.64451E+12,44947.12,45821,44341.07,44373.97,13381.10677
1.64452E+12,44373.95,44601.14,43333.42,43495.44,8047.58483
1.64454E+12,43495.44,43749.86,42600,43343.71,10110.9273
1.64455E+12,43342.92,43416.22,42814.23,43359.25,3941.73806
1.64457E+12,43359.24,43600,42851,43357.53,5475.47369
1.64458E+12,43357.53,43920,43253.31,43669.01,7581.1017
1.6446E+12,43669.02,43767.16,42050,42742.63,10610.87665
1.64461E+12,42742.63,42865.58,41938.51,42373.73,7255.0513
1.64462E+12,42373.73,42485.66,42156.99,42288.46,3288.29465
1.64464E+12,42288.45,42428.3,41688.88,42103.94,4367.69845
1.64465E+12,42103.94,42459.06,41888.82,42406.48,3812.64672
1.64467E+12,42406.48,42445.85,41800.13,42123.93,4622.69088
1.64468E+12,42123.92,43079.49,41995.2,42662.47,6078.0721
1.6447E+12,42662.47,42752.99,41700,42217.87,4387.45401
1.64471E+12,42217.87,42508.47,42057.26,42230,2330.39143
1.64472E+12,42229.99,42490.01,42119.35,42412.4,1777.84404
1.64474E+12,42412.39,42654.64,42243.48,42470.73,2634.53051
1.64475E+12,42470.72,42760,42138.17,42559.97,3618.82766
1.64477E+12,42559.97,42580,41870,42031.16,4470.06705
1.64478E+12,42031.17,42497.85,41929.42,42053.66,2900.42044
1.6448E+12,42053.65,42180.04,41550.56,41916.43,5168.08194
1.64481E+12,41916.42,42368.21,41734.7,42314.42,3722.30411
1.64483E+12,42314.42,42415,41922.48,42117.87,4919.49954
1.64484E+12,42112.71,42842.4,41961.13,42584.97,8465.74177
1.64485E+12,42584.97,42818.35,41803.17,42119.31,7727.34218
1.64487E+12,42119.31,42800,41933.95,42535.94,4007.16106
1.64488E+12,42535.94,43700,42427.03,43567.76,7369.37671
1.6449E+12,43567.75,43781.97,43397.1,43691.57,4329.57517
1.64491E+12,43691.57,44425.85,43608.67,44233.6,9378.32292
1.64493E+12,44233.6,44500,44024.03,44198.96,7094.5811
1.64494E+12,44198.97,44259.37,43846.07,43993.95,4915.19058
1.64496E+12,43993.94,44751.4,43941.28,44544.86,5008.14928
1.64497E+12,44544.85,44549.97,43877.18,43971.26,4792.55593
1.64498E+12,43971.27,44191.77,43673.92,44184.2,3811.49504
1.645E+12,44184.19,44327.55,43876,44173.15,3718.85182
1.64501E+12,44173.15,44214.11,43307,43598.63,7100.1711
1.64503E+12,43598.62,44344.64,43350,44220,6131.78678
1.64504E+12,44219.99,44376.58,43823.09,43873.56,2917.01203
1.64506E+12,43873.56,44164.71,43575.04,43583.05,3545.31414
1.64507E+12,43580,43950,43350,43919.46,4058.38755
1.64508E+12,43919.46,44022.36,42900,43164.05,7089.09929
1.6451E+12,43164.05,43340.65,41700,41925.44,12817.3617
1.64511E+12,41925.44,42111,40750.02,41201.62,11025.4262
1.64513E+12,41204.22,41204.22,40073.21,40515.7,8710.40606
1.64514E+12,40515.71,40950,40300,40691.98,5300.41799
1.64516E+12,40691.97,40780.64,40493.31,40665.81,3464.12026
1.64517E+12,40665.81,40959.88,40101.01,40178.94,5962.75694
1.64519E+12,40178.95,40799,39616.72,39832.03,15730.488
1.6452E+12,39832.02,40438.27,39450,40216.8,9738.09073
1.64521E+12,40216.79,40286.09,39711.31,39974.44,3650.04849
1.64523E+12,39974.45,40307.22,39915.89,40125.12,2584.5293
1.64524E+12,40125.13,40444.32,40060.88,40263.71,2279.67412
1.64526E+12,40263.7,40301.11,39648.6,39842.54,4264.32645
1.64527E+12,39842.53,40076.94,39639.03,39969.93,3923.19584
1.64529E+12,39969.92,40345.62,39850,39974.66,3240.99581
1.6453E+12,39974.66,40140,39800,40079.17,1749.33358
1.64532E+12,40079.17,40125.44,39700,39794.59,2330.8553
1.64533E+12,39794.59,39843.59,38581.1,38796.64,9438.50276
1.64534E+12,38796.63,38836.18,38000,38343.99,9315.50139
1.64536E+12,38343.99,38616,38022,38335.04,4624.96929
1.64537E+12,38337.2,38507.31,38180.1,38397.22,2783.66492
1.64539E+12,38397.22,38979.12,38048.49,38386.89,4945.79645
1.6454E+12,38386.89,39388,38182.98,38919.25,6481.37951
1.64542E+12,38919.25,39494.35,38909.26,39294.07,4179.79433
1.64543E+12,39294.06,39362.15,37348.49,37577.33,10358.56868
1.64544E+12,37576.1,39283.07,37213.63,38827.94,17003.85957
1.64546E+12,38827.93,39141.41,37500,38135.21,12272.80546
1.64547E+12,38135.2,38448.27,36800,37008.16,12051.27741
1.64549E+12,37008.16,37468.35,36350,36591.06,11180.78409
1.6455E+12,36591.06,37250.23,36515.87,36771.66,8523.06137
1.64552E+12,36771.65,37865,36756.53,37519.48,8567.41295
1.64553E+12,37519.47,38298.48,37274.38,37759.9,11164.11113
1.64555E+12,37759.9,38169.08,37380,38065.32,9337.43038
1.64556E+12,38065.32,38429,37755.01,38230.33,5013.14597
1.64557E+12,38230.33,38354.56,37528.33,37750.67,5041.08267
1.64559E+12,37750.66,38213.11,37712.93,38151.17,4692.47418
1.6456E+12,38151.16,39125.47,38081.12,38782.91,8941.95274
1.64562E+12,38782.91,39249.93,38450,38512.51,8262.37861
1.64563E+12,38512.51,38780,37536,37615.81,9521.08684
1.64565E+12,37615.81,37796.36,37036.79,37250.01,7101.75696
1.64566E+12,37250.02,37427.81,34720.53,34936.89,21666.07603
1.64568E+12,34936.9,35515.83,34322.28,35312.05,26065.63785
1.64569E+12,35312.04,35885,34818.09,35442.22,19463.61471
1.6457E+12,35442.23,36100,35035,35919.96,18084.928
1.64572E+12,35919.96,37366.36,35721.96,37300,16813.29053
1.64573E+12,37300,39843,37286.02,38327.21,18382.74746
1.64575E+12,38328.68,39030.01,38138.54,38923.36,8429.24948
1.64576E+12,38923.37,38942.46,38291.61,38466.24,7750.77677
1.64578E+12,38466.25,38876.91,38014.37,38745.01,10204.21877
1.64579E+12,38745,39683.53,38700,39410.92,15915.93241
1.6458E+12,39415.46,39588.82,38537.91,38676.14,8447.04822
1.64582E+12,38676.13,39600,38601,39219.17,5827.3456
1.64583E+12,39219.16,40348.45,39076.14,39390.33,7233.92452
1.64585E+12,39390.33,39468.73,38910.11,39200,3896.27291
1.64586E+12,39200,39546,38573.18,38928.21,5787.64974
1.64588E+12,38928.22,39378.6,38772.15,39215.66,4603.87506
1.64589E+12,39215.66,39440,38823.08,39254.12,3858.90802
1.64591E+12,39254.12,39700,38911,39116.72,3980.62655
1.64592E+12,39116.73,39256.58,38189.19,38606.81,5718.57932
1.64593E+12,38606.8,38875.99,38458.8,38790.93,2804.70811
1.64595E+12,38790.92,39548.17,38621.57,39479.8,5715.77884
1.64596E+12,39479.8,39855.7,38565.14,39357.03,10874.89378
1.64598E+12,39357.03,39450.94,37500,37606.49,7929.41099
1.64599E+12,37604.4,38299.39,37000,37699.07,13186.07615
1.64601E+12,37699.08,38483.53,37450.17,37793.8,6810.98035
1.64602E+12,37793.8,38478.28,37451.56,38347.58,6443.46493
1.64604E+12,38347.58,38672.96,38088.71,38333.65,5955.76279
1.64605E+12,38333.65,40898,37934.89,40824.96,21844.85641
1.64606E+12,40824.96,41463.41,40693.18,41329.44,14814.15253
1.64608E+12,41329.44,44225.84,41248.41,43160,18076.42157
1.64609E+12,43160,43750,42855.2,43147.71,9905.06568
1.64611E+12,43147.71,43562.35,43040.15,43492.96,5673.12384
1.64612E+12,43492.96,43887,42809.98,43609.96,9959.40661
1.64614E+12,43609.96,44949,43350,43643.69,21058.89224
1.64615E+12,43643.69,44078.65,43111.46,43719.49,8785.545
1.64616E+12,43719.49,44506.65,43684.16,44421.2,6361.06536
1.64618E+12,44421.2,44750,43819.97,44324.65,9115.71853
1.64619E+12,44324.64,44534.79,43653.63,43973.09,7184.41025
1.64621E+12,43973.09,44341.25,43738.27,44103.28,7152.87993
1.64622E+12,44103.29,45400,43334.09,44126.52,21359.60222
1.64624E+12,44126.51,44498.02,43433,43704.42,8477.12281
1.64625E+12,43704.41,44380,43681.3,43892.98,4492.91707
1.64627E+12,43892.99,44063.15,43193.52,43305.77,7348.58337
1.64628E+12,43305.76,43696.83,42915.06,43477.05,5660.75266
1.64629E+12,43477.04,43621.22,43064.46,43382.23,5817.41058
1.64631E+12,43382.23,44101.12,42348.56,42547.34,15475.0994
1.64632E+12,42547.34,42750,42055.64,42226.74,10016.31451
1.64634E+12,42226.74,42703.65,41832.28,42454,6622.44969
1.64635E+12,42454,42527.3,41069.91,41449.94,10458.06502
1.64637E+12,41449.93,41499.48,41100,41436.98,5420.09009
1.64638E+12,41436.98,41904.88,40863.01,41662.07,9526.57356
1.6464E+12,41662.06,41833,40550.04,40694.32,13689.02138
1.64641E+12,40694.32,40958.66,39665.72,39782.13,10513.61893
1.64642E+12,39782.13,39879.48,38550,39148.66,12357.316
1.64644E+12,39148.65,39197.94,38564.04,39050.62,7175.73335
1.64645E+12,39050.61,39140.51,38407.59,39016.73,5018.80536
1.64647E+12,39016.74,39294.47,38784.69,39129.59,5153.17248
1.64648E+12,39129.58,39371.15,38889.75,39160.01,4387.08916
1.6465E+12,39160,39613.24,39122.33,39433.71,5368.18462
1.64651E+12,39433.71,39583.66,39281.23,39397.96,3260.14844
1.64652E+12,39397.97,39693.87,39275,39300.54,3150.76731
1.64654E+12,39300.53,39656.89,38814.73,39387.57,5535.09217
1.64655E+12,39387.56,39387.57,38088.57,38352.48,9928.79688
1.64657E+12,38352.48,39056.16,38296.12,38862.61,7071.5964
1.64658E+12,38862.62,39368.4,38518.56,38670.66,5865.66309
1.6466E+12,38670.65,39273.79,38127,38420.81,8125.34573
1.64661E+12,38420.8,38555.85,37578.03,37869.45,10970.36124
1.64663E+12,37869.46,38247.48,37760.08,37895.24,5537.27588
1.64664E+12,37895.24,38399.54,37649.46,38337.05,7208.81739
